time,ori_rodrigues_x_1,ori_rodrigues_x_10,ori_rodrigues_x_2,ori_rodrigues_x_3,ori_rodrigues_x_4,ori_rodrigues_x_5,ori_rodrigues_x_6,ori_rodrigues_x_7,ori_rodrigues_x_8,ori_rodrigues_x_9,ori_rodrigues_y_1,ori_rodrigues_y_10,ori_rodrigues_y_2,ori_rodrigues_y_3,ori_rodrigues_y_4,ori_rodrigues_y_5,ori_rodrigues_y_6,ori_rodrigues_y_7,ori_rodrigues_y_8,ori_rodrigues_y_9,ori_rodrigues_z_1,ori_rodrigues_z_10,ori_rodrigues_z_2,ori_rodrigues_z_3,ori_rodrigues_z_4,ori_rodrigues_z_5,ori_rodrigues_z_6,ori_rodrigues_z_7,ori_rodrigues_z_8,ori_rodrigues_z_9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.132067230457,-0.0432559851361,-0.0819646415724,-0.0315790950966,0.107824259722,0.083905334066,0.331868906186,-0.394353184892,-0.866497830831,0.586811663391,0.211116746029,-0.653919152322,0.209344038207,0.482203844546,-0.0891253324536,-0.0627435305067,0.523145469571,-0.0121016527978,-0.0779726888815,0.359320275093,0.106431539077,-0.631265667864,-0.269819817873,-0.0368362568584,0.561351521881,0.313589003676,-0.585626085587,-0.00101538829858,0.244895557672,-0.511286908227
0.102,0.13206656571284,-0.043259964400644,-0.081966689409113,-0.031579830205669,0.10782052412489,0.083899952350965,0.33187133826469,-0.39435730641509,-0.86650529281937,0.58681489473769,0.21111512235825,-0.65393121868855,0.20934188090016,0.48220783835736,-0.089119743930672,-0.062739271374208,0.52314053568097,-0.012098386944906,-0.077969334134541,0.35930660078407,0.10642879256651,-0.63127108035257,-0.26982556477038,-0.036842608143821,0.56135213154216,0.31358361530859,-0.58562841311013,-0.001016463980276,0.24489403043967,-0.51129073337505
0.104,0.13206590137574,-0.043263945385088,-0.081968736445016,-0.031580564385581,0.10781678903654,0.083894571139332,0.33187377089109,-0.3943614273518,-0.86651275349507,0.58681812781632,0.21111349869858,-0.65394328456744,0.20933972421819,0.48221183166086,-0.089114156220133,-0.062735013168076,0.52313560246938,-0.012095120971315,-0.077965979202234,0.35929292700301,0.10642604573745,-0.63127649376027,-0.26983131190093,-0.036848959120952,0.56135274117361,0.31357822618509,-0.58563074076588,-0.0010175401465947,0.24489250319581,-0.51129455900581
0.108,0.13206457273994,-0.043271865064633,-0.081972826726891,-0.031582194915992,0.10780938489947,0.083883875534742,0.33187856495784,-0.39436961815931,-0.86652758313191,0.58682453763791,0.21111038538597,-0.65396733284801,0.20933544526097,0.48222034485052,-0.089103010008221,-0.06272649712665,0.52312597230877,-0.012088565435177,-0.077959322719179,0.35926572110324,0.10642054222952,-0.63128725695881,-0.26984275654263,-0.036861695187215,0.56135397716784,0.31356748637799,-0.58563543232064,-0.0010196309326509,0.24488952578535,-0.51130222672234
0.116,0.13206202046462,-0.04327630588851,-0.081978337397338,-0.031590673763554,0.10778064720782,0.083866315093792,0.33188432594937,-0.39438636653256,-0.86654976423439,0.58683560110355,0.2111044160188,-0.65401696177369,0.20932866099815,0.4822323216876,-0.08908556752313,-0.062701964575151,0.52310873910399,-0.012075516572834,-0.077947018082434,0.35921087731068,0.10641064384887,-0.63131296114735,-0.26986526600578,-0.036887261131909,0.56135641334217,0.31354330060722,-0.58564575103471,-0.0010223328163211,0.24488004542611,-0.51131386963844
0.132,0.13196860056702,-0.042426469608281,-0.081858529334276,-0.031828660731551,0.10746211661684,0.084112156493736,0.33147341201764,-0.39434136927288,-0.86575904198735,0.58655690424321,0.2111928995904,-0.65373453643616,0.20944964775984,0.48196168366409,-0.08932481412426,-0.062589421077033,0.52344031221,-0.012229160353012,-0.078147177614933,0.35959676988992,0.10669340049914,-0.63141955888558,-0.26958995968114,-0.036564810532143,0.56164926558225,0.31381667384847,-0.58534705094547,-0.0007112933390183,0.2445440213272,-0.51109359328076
0.13232,0.13196659106056,-0.042408450888151,-0.081855914225103,-0.031833595161269,0.10745568194802,0.084117413392813,0.33146484309981,-0.39434037337277,-0.86574226288394,0.58655087838066,0.21119479187797,-0.65372827812907,0.20945226794683,0.48195585316153,-0.089329833523844,-0.06258715634056,0.52344734886429,-0.012232503780124,-0.078151457442636,0.35960523940428,0.10669947936956,-0.63142165943918,-0.2695839710132,-0.036557886643218,0.56165556202744,0.31382264780176,-0.58534052227123,-0.0007046541371009,0.24453688034509,-0.51108895320397
0.13264,0.13196457582704,-0.04239029347168,-0.081853157284138,-0.031838511410708,0.10744906495972,0.084122696422656,0.33145635725348,-0.39433947870527,-0.8657251168249,0.58654485756951,0.21119667859923,-0.65372206729669,0.20945500013069,0.48194999091452,-0.089334906453731,-0.062584769211199,0.5234544122807,-0.012235802458315,-0.078155763619957,0.35961377862976,0.10670555866076,-0.63142392004839,-0.26957793341583,-0.036550944041145,0.56166190339852,0.31382860291537,-0.58533392034456,-0.0006979709625039,0.24452944409911,-0.51108436887813
0.13328,0.13196051924958,-0.042353791869242,-0.081847147590127,-0.031848247124477,0.10743549443123,0.084133298790607,0.33143954790889,-0.39433791553916,-0.86569009872716,0.58653271118033,0.21120042802244,-0.6537097023929,0.20946086493956,0.48193821923133,-0.089345143305105,-0.06257975558279,0.5234685684683,-0.012242298436928,-0.078164433060873,0.35963090549735,0.10671771764785,-0.63142872095415,-0.26956567399748,-0.036536935385598,0.56167466796413,0.31384048112166,-0.58532059976648,-0.000684496917052,0.24451396021586,-0.51107539607857
