GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2
30058.0,-0.191509,-0.946292,0.260493,-0.160369,0.292007,0.942875,-0.968301,0.138794,-0.207678,33.952672,183.493392,-47.226149,3.598418,3.594109,3.593029,89.995505,89.946548,90.025369,163.862272,0.079971,0.08785,57.367417,0.795812,-64.467405,-194.117371,-48.87943,-194.117371,-276.94714,-95.544789,-48.87943,-95.544789,1414.03714,-167.98734,-188.836544,-30.316111,-188.836544,23.421543,10.65023,-30.316111,10.65023,1448.523401,970.582204,1.0,2.872042,1.779997,4.854757
29122.0,-0.564179,-0.299082,0.76958,-0.682574,0.693372,-0.230929,-0.464538,-0.65558,-0.595331,496.681601,339.980606,127.665249,3.590284,3.594298,3.595948,89.931731,89.938649,89.969464,152.658765,0.083058,0.073722,77.889638,0.891304,-622.279922,-413.618152,-574.294599,-413.618152,-659.393948,-138.614646,-574.294599,-138.614646,954.60465,204.60356,121.294754,19.316161,121.294754,-75.313621,-17.12689,19.316161,-17.12689,1072.974627,1115.024205,1.0,1.279273,2.208474,3.758061
26781.0,0.061879,0.778339,0.624787,-0.913349,0.29657,-0.278999,-0.402449,-0.553384,0.729247,290.3697,444.864276,45.464825,3.596922,3.59547,3.594504,90.070446,90.048886,89.992889,138.524448,0.086609,0.079004,66.89979,0.86911,-292.301207,251.853549,-201.997702,251.853549,603.403762,235.465331,-201.997702,235.465331,1133.417769,254.026401,-141.40466,-113.567812,-141.40466,81.73817,-1.615302,-113.567812,-1.615302,971.046342,708.988613,1.0,1.150814,0.753576,3.770375
28280.0,-0.407926,0.871064,0.273575,-0.911055,-0.368724,-0.18445,-0.059794,-0.324484,0.943999,454.803327,-340.486271,101.907061,3.594081,3.592304,3.598118,90.082801,90.055967,90.081538,137.109947,0.079585,0.075832,86.392395,0.984043,29.288959,833.953027,39.169468,833.953027,-720.875695,141.659295,39.169468,141.659295,1469.073804,307.370855,166.400358,136.675014,166.400358,42.329809,-42.803535,136.675014,-42.803535,1385.661047,665.232949,1.0,0.977583,0.336248,3.323822
23084.0,-0.420275,0.625215,-0.657629,0.20748,0.771755,0.601121,0.883358,0.116191,-0.454069,104.478174,113.681543,-45.131437,3.596876,3.594561,3.59476,89.999766,90.009401,89.981843,104.07163,0.081624,0.074858,77.608716,0.973404,191.266701,-77.210761,-111.456397,-77.210761,263.899548,178.440613,-111.456397,178.440613,796.166658,-43.905718,184.157622,-117.393399,184.157622,332.385362,244.6593,-117.393399,244.6593,941.290189,865.152074,1.0,3.971853,2.042123,1.440013
24787.0,-0.494622,-0.585201,-0.642565,0.704569,0.16288,-0.69069,0.508853,-0.794362,0.33175,368.449486,430.073291,-56.439016,3.595497,3.595502,3.587414,90.107778,90.076934,90.014003,192.427555,0.074326,0.076351,60.006263,0.837838,-1690.759185,-1144.226812,499.969338,-1144.226812,208.036966,85.966686,499.969338,85.966686,565.374585,-247.08453,133.682584,-71.546196,133.682584,200.863729,-127.86409,-71.546196,-127.86409,1075.696621,766.922856,1.0,5.533867,1.232638,2.571867
28192.0,-0.382831,0.529444,0.757053,-0.914272,-0.334637,-0.228307,0.132462,-0.779556,0.612165,166.48479,-403.535823,-121.232447,3.591469,3.59215,3.593829,90.135378,90.051209,90.122454,183.901944,0.073191,0.070047,86.441227,0.963351,-502.531818,944.916922,207.458766,944.916922,-1644.491114,-462.040164,207.458766,-462.040164,958.428915,297.016019,-133.973811,-65.908288,-133.973811,-93.901274,-41.494966,-65.908288,-41.494966,1066.371604,468.541394,1.0,1.277897,0.912,2.97328
29110.0,0.174512,0.36901,-0.912895,0.118644,0.912486,0.391526,0.977481,-0.176635,0.115459,-72.467094,443.030312,-7.511765,3.598368,3.597508,3.590947,90.009419,89.991795,90.020528,95.273044,0.05851,0.056814,128.089844,1.0,-500.770414,674.873314,94.757822,674.873314,636.486051,-185.575815,94.757822,-185.575815,1289.548228,82.487846,31.549271,222.695831,31.549271,231.319481,90.919005,222.695831,90.919005,1154.909606,610.851966,1.0,4.307233,1.45508,1.749572
23743.0,-0.704817,-0.499227,-0.503989,0.512212,0.133381,-0.848439,0.490786,-0.856144,0.161701,450.816088,153.253992,100.976021,3.595207,3.597157,3.593233,89.998243,89.973844,90.049761,101.970135,0.068893,0.064227,76.684201,0.973118,223.394457,-35.853746,44.083017,-35.853746,-283.510144,110.640103,44.083017,110.640103,1144.04951,-21.91236,-9.742657,1.799786,-9.742657,78.352526,-5.325948,1.799786,-5.325948,1171.58223,512.408724,1.0,5.747175,1.408382,2.621073
23385.0,0.855244,0.455437,-0.247256,-0.369032,0.870206,0.32643,0.363832,-0.187932,0.912309,-169.269299,-277.748882,-36.90647,3.594837,3.596523,3.597353,90.015061,89.938567,89.981489,109.263618,0.057925,0.060387,82.56661,0.98895,329.057965,430.185294,111.922065,430.185294,382.576562,-18.918827,111.922065,-18.918827,1238.785353,317.575268,24.283661,67.781146,24.283661,292.766126,0.494267,67.781146,0.494267,987.744751,433.105292,1.0,3.789848,0.421909,2.047584
23471.0,0.673496,0.73886,0.022112,-0.301179,0.24697,0.92103,0.675051,-0.626971,0.388862,502.143982,284.621141,-128.790835,3.595605,3.591302,3.593176,90.118121,90.006848,90.090463,157.476939,0.065444,0.072804,91.605224,0.957672,-1002.931869,-931.293406,190.663083,-931.293406,-490.092501,128.795166,190.663083,128.795166,1039.669219,213.653121,-60.037508,198.453421,-60.037508,-164.234291,-130.166839,198.453421,-130.166839,1164.708092,1020.693768,1.0,3.117589,1.1714,2.319284
23393.0,0.83212,0.552375,-0.049579,-0.361332,0.607795,0.707124,0.420731,-0.570498,0.705349,-354.013916,156.913454,105.630741,3.594485,3.594913,3.595775,90.042346,89.983485,90.005565,97.016333,0.052883,0.054031,87.003178,0.973684,163.733782,-33.364325,-111.133169,-33.364325,16.026479,112.192505,-111.133169,112.192505,786.316632,167.066051,4.513501,-10.589652,4.513501,123.559136,142.030577,-10.589652,142.030577,744.355757,552.005459,1.0,3.211592,0.787881,2.506152
28514.0,-0.388738,0.912061,0.130492,-0.729138,-0.391122,0.561588,0.563241,0.123163,0.817062,-162.841057,412.690129,9.812257,3.593694,3.594087,3.596634,90.015112,89.927436,90.011349,122.441481,0.066675,0.067729,77.234581,0.994565,21.794726,-187.810436,-201.388189,-187.810436,-300.070346,257.136886,-201.388189,257.136886,1032.722233,26.061605,85.34144,42.880883,85.34144,18.381159,108.930624,42.880883,108.930624,1063.371307,1360.964331,1.0,2.913281,0.614499,1.355516
23107.0,0.72174,-0.02722,0.691629,-0.220482,0.938135,0.267003,-0.656109,-0.345199,0.671088,-302.677225,357.194103,64.860838,3.596541,3.595429,3.595587,90.020901,90.02028,90.033483,66.541794,0.056046,0.051745,107.190277,0.988889,449.048815,-365.032456,-16.811167,-365.032456,493.912903,169.575631,-16.811167,169.575631,686.319626,218.037136,-63.855628,88.838332,-63.855628,267.645685,53.804121,88.838332,53.804121,717.218885,320.962777,1.0,1.939219,0.835121,4.228056
25408.0,-0.234488,-0.793742,0.561239,0.577983,0.350372,0.737004,-0.781633,0.497206,0.376611,83.198656,514.317067,-183.628012,3.595866,3.594002,3.593506,89.99235,90.023887,90.047024,121.28645,0.060668,0.068015,73.409751,0.983871,-144.044358,37.164052,-32.488772,37.164052,-183.032266,-169.977834,-32.488772,-169.977834,792.310738,-259.594048,9.890855,235.614403,9.890855,91.016329,-179.34523,235.614403,-179.34523,1053.435819,600.696347,1.0,2.490763,1.184661,5.278939
23104.0,-0.909975,-0.41463,0.005191,0.392545,-0.857336,0.332992,-0.133618,0.305052,0.942915,-330.017769,477.698152,99.654163,3.596036,3.594087,3.597949,90.002683,89.945376,90.011204,126.810693,0.06583,0.067428,75.581447,0.978261,422.562089,-392.258466,-307.605492,-392.258466,458.690059,457.942025,-307.605492,457.942025,891.562019,47.348645,125.500591,99.60171,125.500591,241.041973,135.994768,99.60171,135.994768,756.838861,536.16323,1.0,3.126004,0.339518,5.870342
28718.0,-0.461216,0.010183,0.88723,-0.730546,0.563144,-0.386228,-0.50357,-0.826296,-0.252292,-226.807133,-230.065453,60.491941,3.597257,3.597269,3.595942,89.924645,90.067686,90.039344,130.943916,0.067468,0.065425,88.491352,0.972973,1144.9024,820.884477,-336.118793,820.884477,541.991447,-254.20161,-336.118793,-254.20161,751.058073,173.38747,214.511735,-54.976363,214.511735,223.334635,-180.169064,-54.976363,-180.169064,893.974451,459.168324,1.0,1.160218,1.825844,3.688918
23517.0,0.620903,0.730918,-0.283263,-0.284975,0.547103,0.787062,0.730252,-0.407966,0.547992,-157.468958,222.495243,152.718234,3.596385,3.594767,3.593293,89.992019,89.988004,90.012647,113.491689,0.067477,0.066519,85.471984,0.994737,215.98913,86.252615,286.735487,86.252615,71.148586,-285.254609,286.735487,-285.254609,476.667675,133.165804,-12.163398,80.94665,-12.163398,102.506791,-123.977724,80.94665,-123.977724,930.258941,480.953937,1.0,3.487059,0.990835,2.080268
29432.0,0.783948,-0.159207,-0.600066,0.618125,0.110086,0.778333,-0.057857,-0.981088,0.184712,-44.355347,-218.000929,184.148765,3.593739,3.598707,3.59457,89.983868,90.013353,89.989726,138.538246,0.080025,0.084132,73.227677,0.923913,187.690395,-188.022499,180.029218,-188.022499,36.322326,-283.823292,180.029218,-283.823292,1255.099399,241.442718,-112.658266,-38.993438,-112.658266,-6.0136,-334.66186,-38.993438,-334.66186,972.975566,837.886493,1.0,3.798375,1.385018,3.200497
26989.0,0.095192,-0.683656,-0.723569,0.918507,-0.219906,0.328613,-0.383775,-0.695885,0.60701,-200.701491,433.262705,122.073511,3.594226,3.595088,3.597097,90.024867,90.022348,89.970225,88.265714,0.06229,0.056868,91.538593,0.984043,399.325561,-184.763079,-270.570908,-184.763079,-2.924996,46.485361,-270.570908,46.485361,914.149282,234.763739,-141.412971,-195.879985,-141.412971,155.359935,-34.655481,-195.879985,-34.655481,920.406163,456.017232,1.0,4.286085,0.918504,3.645581
27191.0,0.142429,0.316282,-0.937912,0.769167,0.561026,0.305993,0.622973,-0.764994,-0.163367,360.809645,-241.661816,-124.728287,3.596703,3.597017,3.589186,89.993367,90.059136,90.043526,104.380181,0.068024,0.060317,112.779964,1.0,-981.844667,818.030268,-22.810942,818.030268,59.856213,105.017576,-22.810942,105.017576,1256.774746,52.803502,102.40761,-45.823518,102.40761,367.372337,53.007336,-45.823518,53.007336,1224.906025,345.197154,1.0,4.397028,1.734899,2.458163
23488.0,0.693154,0.320627,-0.64555,-0.316058,0.940124,0.12757,0.6478,0.115606,0.752988,-163.033867,183.797082,-95.56202,3.595269,3.594158,3.596334,90.008063,89.950197,89.970365,116.439914,0.069555,0.067582,69.198268,0.941489,227.520952,191.9113,-47.834166,191.9113,-93.165138,24.705953,-47.834166,24.705953,995.322531,57.779221,17.330527,24.428446,17.330527,217.000163,-110.339901,24.428446,-110.339901,1055.341102,627.185255,1.0,4.517288,0.718206,1.394197
23164.0,0.138502,-0.20439,0.969042,-0.003711,0.978358,0.206885,-0.990355,-0.03225,0.134746,515.425252,177.257708,-178.423913,3.60036,3.594497,3.597929,90.022416,89.96318,89.993832,145.389414,0.066659,0.070847,67.692497,0.918478,1254.890118,28.829537,-379.764273,28.829537,126.803704,-110.343592,-379.764273,-110.343592,1702.457613,-349.963955,-133.307163,-57.301348,-133.307163,-0.798308,7.993393,-57.301348,7.993393,1715.66194,577.089066,1.0,1.781133,1.435639,4.679836
26132.0,-0.122686,0.626604,-0.76962,0.739822,0.574645,0.349925,0.661522,-0.526451,-0.534076,-284.808297,59.924464,161.147353,3.59578,3.592418,3.594852,89.954104,89.993941,89.984208,138.371073,0.06622,0.073606,73.233211,0.831461,-394.47895,-334.87648,273.386147,-334.87648,488.05676,124.65796,273.386147,124.65796,281.849503,251.227127,-132.783113,-79.562193,-132.783113,293.090709,-59.505207,-79.562193,-59.505207,516.205011,651.81465,1.0,4.285657,2.134211,2.242982
