case,z_locations_um (centers)
case,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100
W200_O0pct,-5523.0,-5323.0,-5123.0,-4923.0,-4723.0
W100_O0pct,-5573.0,-5473.0,-5373.0,-5273.0,-5173.0,-5073.0,-4973.0,-4873.0,-4773.0,-4673.0
W50_O0pct,-5598.0,-5548.0,-5498.0,-5448.0,-5398.0,-5348.0,-5298.0,-5248.0,-5198.0,-5148.0,-5098.0,-5048.0,-4998.0,-4948.0,-4898.0,-4848.0,-4798.0,-4748.0,-4698.0,-4648.0
W25_O0pct,-5610.5,-5585.5,-5560.5,-5535.5,-5510.5,-5485.5,-5460.5,-5435.5,-5410.5,-5385.5,-5360.5,-5335.5,-5310.5,-5285.5,-5260.5,-5235.5,-5210.5,-5185.5,-5160.5,-5135.5,-5110.5,-5085.5,-5060.5,-5035.5,-5010.5,-4985.5,-4960.5,-4935.5,-4910.5,-4885.5,-4860.5,-4835.5,-4810.5,-4785.5,-4760.5,-4735.5,-4710.5,-4685.5,-4660.5,-4635.5
W200_O25pct,-5523.0,-5373.0,-5223.0,-5073.0,-4923.0,-4773.0,-4623.0
W200_O50pct,-5523.0,-5423.0,-5323.0,-5223.0,-5123.0,-5023.0,-4923.0,-4823.0,-4723.0
W100_O25pct,-5573.0,-5498.0,-5423.0,-5348.0,-5273.0,-5198.0,-5123.0,-5048.0,-4973.0,-4898.0,-4823.0,-4748.0,-4673.0
W100_O50pct,-5573.0,-5523.0,-5473.0,-5423.0,-5373.0,-5323.0,-5273.0,-5223.0,-5173.0,-5123.0,-5073.0,-5023.0,-4973.0,-4923.0,-4873.0,-4823.0,-4773.0,-4723.0,-4673.0
W10_O0pct,-5618.0,-5608.0,-5598.0,-5588.0,-5578.0,-5568.0,-5558.0,-5548.0,-5538.0,-5528.0,-5518.0,-5508.0,-5498.0,-5488.0,-5478.0,-5468.0,-5458.0,-5448.0,-5438.0,-5428.0,-5418.0,-5408.0,-5398.0,-5388.0,-5378.0,-5368.0,-5358.0,-5348.0,-5338.0,-5328.0,-5318.0,-5308.0,-5298.0,-5288.0,-5278.0,-5268.0,-5258.0,-5248.0,-5238.0,-5228.0,-5218.0,-5208.0,-5198.0,-5188.0,-5178.0,-5168.0,-5158.0,-5148.0,-5138.0,-5128.0,-5118.0,-5108.0,-5098.0,-5088.0,-5078.0,-5068.0,-5058.0,-5048.0,-5038.0,-5028.0,-5018.0,-5008.0,-4998.0,-4988.0,-4978.0,-4968.0,-4958.0,-4948.0,-4938.0,-4928.0,-4918.0,-4908.0,-4898.0,-4888.0,-4878.0,-4868.0,-4858.0,-4848.0,-4838.0,-4828.0,-4818.0,-4808.0,-4798.0,-4788.0,-4778.0,-4768.0,-4758.0,-4748.0,-4738.0,-4728.0,-4718.0,-4708.0,-4698.0,-4688.0,-4678.0,-4668.0,-4658.0,-4648.0,-4638.0,-4628.0
