GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2
27285.0,0.260885,-0.946255,0.191155,0.942923,0.292225,0.159689,-0.206967,0.138584,0.968483,45.710347,194.871525,-56.02541,3.594543,3.593001,3.599508,89.973852,90.013461,90.005517,165.37292,0.092224,0.093239,57.378384,0.769634,-225.300713,152.255966,72.788664,152.255966,136.870845,159.090967,72.788664,159.090967,1577.440263,75.408796,-131.118794,153.379381,-131.118794,59.132438,88.278027,153.379381,88.278027,1681.341096,905.354926,1.0,2.266748,0.25173,5.302416
28570.0,0.564269,-0.298809,-0.769619,0.68198,0.694088,0.230531,0.465299,-0.654947,0.595434,489.668995,335.43237,121.849711,3.598619,3.594346,3.598011,90.105267,90.067062,89.956971,179.30282,0.085612,0.082757,76.968201,0.907609,1066.146361,1132.406139,-633.044204,1132.406139,606.704441,-70.514813,-633.044204,-70.514813,905.504442,41.428059,102.902428,207.009395,102.902428,18.124718,177.959751,207.009395,177.959751,1067.670183,687.516688,1.0,4.421355,0.93299,2.523896
30096.0,0.777639,-0.625671,-0.061749,0.297124,0.279174,0.913115,-0.554071,-0.728421,0.402999,306.021031,435.964876,39.429552,3.596968,3.596151,3.589941,90.028209,90.069879,89.970001,169.043595,0.102768,0.092495,67.986098,0.852632,541.63513,-119.284604,-273.244132,-119.284604,-1207.621823,-398.390962,-273.244132,-398.390962,1043.695437,487.434982,-47.700882,14.036529,-47.700882,15.179981,12.350698,14.036529,12.350698,965.142089,728.565382,1.0,1.627739,1.531147,3.480432
22931.0,-0.87086,-0.274135,-0.407986,0.368601,0.18488,-0.911017,0.32517,-0.943753,-0.059958,474.729901,-344.519968,103.993347,3.594377,3.5983,3.593877,89.987418,89.981802,90.069427,115.411855,0.060058,0.064944,86.098841,0.978723,39.110932,173.260765,-133.462042,173.260765,-171.912583,18.967013,-133.462042,18.967013,1482.480869,88.115722,154.165247,-81.027109,154.165247,-44.855085,-94.275934,-81.027109,-94.275934,1511.069587,848.696276,1.0,5.862133,1.63079,2.809781
28548.0,0.624944,-0.658471,-0.419359,0.772043,0.600934,0.206948,0.115738,-0.453094,0.883918,133.029691,107.090846,-42.360654,3.594359,3.593608,3.59722,90.058483,89.96722,90.003054,106.314999,0.063237,0.063512,77.531756,0.978723,-233.259083,159.707439,-3.956144,159.707439,26.079193,188.923869,-3.956144,188.923869,1176.847658,0.41522,221.100397,-152.276822,221.100397,-9.949315,316.673433,-152.276822,316.673433,1120.842138,1025.384295,1.0,4.253965,0.486621,2.891501
28751.0,0.643802,-0.584572,-0.493755,0.689327,0.162949,0.705886,-0.332184,-0.794811,0.507868,363.24763,426.254454,-31.249869,3.588886,3.597575,3.595281,90.016193,89.875383,89.911719,194.697061,0.085781,0.088018,59.637776,0.833333,-1488.002866,-887.775873,953.100968,-887.775873,751.245678,55.4876,953.100968,55.4876,744.875286,-74.543653,-15.962153,353.565595,-15.962153,-47.513807,-185.330542,353.565595,-185.330542,1140.957334,833.942632,1.0,3.744213,0.821514,4.423624
23820.0,0.5286,-0.757067,0.383969,-0.335307,0.229328,0.913771,-0.779841,-0.611767,-0.132627,186.350793,-408.983256,-119.403624,3.594418,3.594084,3.592985,90.08314,89.978552,89.846603,153.2523,0.067362,0.064934,85.65174,0.984293,-543.493954,883.727522,364.19346,883.727522,-818.795858,398.371347,364.19346,398.371347,1298.449178,136.38821,-118.407878,25.145733,-118.407878,-67.323718,78.810412,25.145733,78.810412,1163.440072,470.710687,1.0,2.743792,1.703815,4.047185
28907.0,0.174953,0.368496,-0.913018,0.117339,0.912908,0.390936,0.97756,-0.175528,0.116477,-56.109386,452.50859,-10.314609,3.600091,3.593325,3.593882,90.011743,89.973243,89.959727,78.215184,0.061936,0.056158,128.478836,1.0,66.342135,116.352026,196.650156,116.352026,-86.751522,618.661069,196.650156,618.661069,1577.402647,-129.601582,44.099131,160.25704,44.099131,17.758276,30.687171,160.25704,30.687171,1701.893407,371.539054,1.0,4.307828,1.454055,1.74846
22939.0,0.500891,0.503276,-0.704146,-0.133034,0.848662,0.511933,0.855225,-0.162747,0.49204,456.641689,154.509412,101.494848,3.59566,3.593873,3.594699,89.98803,89.926047,90.029273,98.913398,0.067,0.063496,76.338214,0.967742,-427.503502,-16.87152,-148.064105,-16.87152,122.093154,85.588875,-148.064105,85.588875,1008.951569,-16.610122,-70.692827,177.213157,-70.692827,58.852588,30.229264,177.213157,30.229264,1252.161133,458.362865,1.0,4.083754,1.056365,1.758845
27942.0,0.45579,-0.855076,-0.247185,0.87,0.369314,0.326661,-0.188031,-0.363939,0.912246,-152.489011,-273.25817,-34.184132,3.592853,3.594997,3.597636,90.039298,89.998,89.996987,113.972443,0.055534,0.058693,82.907063,0.98895,56.475453,-184.866105,130.121549,-184.866105,-123.920553,244.240731,130.121549,244.240731,1120.465915,44.811495,-110.74426,139.551172,-110.74426,13.906156,70.606497,139.551172,70.606497,1276.164108,606.063615,1.0,3.789369,0.422063,3.618475
