GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2
29050.0,0.190171,0.260773,-0.946484,0.159478,0.943067,0.291875,0.968711,-0.206449,0.137757,20.332077,201.829538,-59.152043,3.597585,3.595158,3.593253,90.000674,90.006346,90.002967,173.166958,0.089103,0.091301,56.540087,0.78534,-80.050342,171.260718,235.987519,171.260718,305.841198,42.881544,235.987519,42.881544,969.540089,-69.19171,57.101323,196.274901,57.101323,-19.492043,90.056028,196.274901,90.056028,1193.460395,954.269064,1.0,4.413264,1.4326,1.780772
23209.0,0.77097,-0.29787,0.56292,-0.231152,0.692735,0.683145,-0.593443,-0.656804,0.465224,457.0025,319.287541,131.33891,3.595049,3.595147,3.590063,89.988077,90.049791,89.934437,149.283196,0.079802,0.070652,76.189073,0.907609,-793.14827,-346.801639,-609.843241,-346.801639,-262.255288,-392.083261,-609.843241,-392.083261,653.487154,212.64874,51.005416,128.473799,51.005416,-228.910442,103.500774,128.473799,103.500774,762.146177,673.229801,1.0,2.45238,1.086908,3.876355
26921.0,0.062314,0.778757,0.624223,-0.91291,0.297252,-0.279708,-0.403376,-0.55243,0.729458,267.49576,439.704405,43.031862,3.59561,3.595774,3.593572,90.081894,89.959978,90.024336,163.188502,0.095034,0.091643,66.725519,0.890052,-406.671713,73.964258,-435.144327,73.964258,847.420163,-432.068952,-435.144327,-432.068952,463.816408,236.675525,117.63667,-174.385145,117.63667,209.218136,-23.574764,-174.385145,-23.574764,713.865677,765.749456,1.0,1.149532,0.753267,3.772291
24419.0,0.273348,0.407593,-0.871291,-0.185403,0.911128,0.368063,0.943878,0.060931,0.324625,447.439223,-354.695958,106.642378,3.598126,3.594533,3.59385,90.013411,89.974969,89.984935,83.549989,0.053678,0.051978,87.945738,0.989362,114.910183,165.789825,194.801675,165.789825,31.903365,-60.332083,194.801675,-60.332083,1191.304975,187.956225,66.478884,-59.394513,66.478884,122.630445,-58.787772,-59.394513,-58.787772,1231.804125,484.552678,1.0,4.312694,1.240182,1.506332
23217.0,-0.421372,0.624877,-0.657247,0.207587,0.771945,0.600839,0.88281,0.11674,-0.454993,87.683573,109.287309,-45.333995,3.596186,3.595307,3.594805,90.008643,90.02353,90.006488,95.876654,0.076389,0.068253,77.618861,0.978723,352.585817,134.909141,-54.205408,134.909141,212.183674,-25.336345,-54.205408,-25.336345,714.590377,47.852009,5.684283,-3.317702,5.684283,510.661359,169.293681,-3.317702,169.293681,623.311887,729.986086,1.0,3.971797,2.04316,1.439322
25276.0,0.4957,0.643805,0.582921,-0.704735,0.690432,-0.163258,-0.507573,-0.329877,0.795959,355.574805,410.74882,-52.971002,3.595874,3.59085,3.594829,90.080894,90.036578,90.007557,160.974011,0.071629,0.073813,60.505078,0.876344,-885.824592,-639.396819,-62.523368,-639.396819,24.704737,91.271112,-62.523368,91.271112,818.96467,-99.566659,-63.31431,-159.816362,-63.31431,140.02871,-72.16102,-159.816362,-72.16102,870.913769,935.883486,1.0,1.297723,0.650207,4.136077
23612.0,-0.529886,0.383374,-0.756469,0.335023,0.914066,0.228568,0.77909,-0.132319,-0.612789,155.98078,-419.946971,-116.035168,3.59441,3.594053,3.594884,90.015538,90.088188,90.017109,110.11102,0.070544,0.061854,85.355976,0.984293,-275.152891,365.984358,233.612637,365.984358,-200.447044,-5.671956,233.612637,-5.671956,932.721207,432.518903,5.929642,-138.997208,5.929642,-16.634851,-1.677167,-138.997208,-1.677167,854.480524,464.448896,1.0,4.418959,2.230382,1.739029
30651.0,-0.173924,-0.913162,0.368627,-0.117837,0.390941,0.912841,-0.977683,0.115327,-0.175598,-103.493084,446.316491,-10.628838,3.597195,3.593553,3.597109,89.97218,90.00958,90.039457,85.631812,0.063905,0.06188,127.270424,1.0,-193.667716,189.62085,-115.635439,189.62085,964.957821,176.378953,-115.635439,176.378953,941.638762,58.655099,68.170386,65.798974,68.170386,316.842903,82.607972,65.798974,82.607972,863.042102,496.846666,1.0,2.757794,1.74731,4.829806
28751.0,-0.503544,0.705615,0.498549,-0.848715,-0.511947,-0.132641,0.161637,-0.489917,0.856653,407.277058,148.890457,101.0458,3.5973,3.593498,3.597393,90.071743,90.051491,89.980216,136.53193,0.065485,0.066297,77.743731,0.978495,88.138892,700.431478,371.45959,700.431478,632.042309,359.469028,371.45959,359.469028,1084.426379,274.621761,25.801218,37.408,25.801218,114.000653,29.264989,37.408,29.264989,1004.43189,489.18892,1.0,1.310767,0.542049,2.822909
28304.0,0.455915,-0.854692,-0.248279,0.870103,0.369329,0.326368,-0.187248,-0.364825,0.912053,-195.58322,-279.86377,-36.642804,3.594308,3.595483,3.596805,90.0603,89.980692,90.03088,98.025227,0.065057,0.059513,81.52261,0.994475,343.011687,179.409917,386.717806,179.409917,27.668925,275.758756,386.717806,275.758756,990.862003,285.993645,35.890656,62.920199,35.890656,378.216056,-6.333756,62.920199,-6.333756,782.741537,472.710058,1.0,3.791928,0.422533,3.615787
