O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
0.462665,0.009096,-0.886486,0.730367,0.562873,0.386961,0.502499,-0.826493,0.253778,-231.38366,-232.925226,457.184268,95.345216,4.300809,1.314212,2.595319,-160.669996,-40.158481,82.169539,-40.158481,-138.567127,0.372779,82.169539,0.372779,1033.863443
-0.247033,0.455578,-0.855233,0.326904,0.870028,0.369034,0.9122,-0.188416,-0.363855,-154.650708,-279.294515,364.174642,87.561731,4.305025,1.9432,1.774483,-259.195023,159.552752,-73.641972,159.552752,-95.332199,65.237571,-73.641972,65.237571,1259.252563
0.261562,0.449948,-0.853893,-0.258447,0.885036,0.387192,0.929941,0.119411,0.347779,456.749402,164.548938,259.112929,92.187675,4.286676,1.215595,1.443088,-437.157762,192.053116,65.391458,192.053116,-173.811336,-6.92452,65.391458,-6.92452,1260.644894
0.543249,-0.730029,-0.414654,0.83442,0.5241,0.170479,0.092866,-0.438608,0.893868,122.102184,-85.460765,553.070574,98.641095,4.32232,0.464897,2.932946,-394.428936,-10.444886,-218.851753,-10.444886,-178.125845,-39.943842,-218.851753,-39.943842,1087.444883
0.234615,0.793015,0.562213,-0.578067,-0.351167,0.73656,0.781533,-0.497805,0.376027,113.331554,503.554388,223.737272,75.155569,2.489637,1.185292,2.137949,-357.851871,-32.426749,92.637529,-32.426749,-166.780838,-180.620723,92.637529,-180.620723,831.444401
0.253449,0.617517,-0.744605,0.737248,0.375038,0.561972,0.626283,-0.691389,-0.36021,-14.569849,238.800177,394.244009,116.974294,4.065871,1.939289,2.405565,162.461657,182.032702,-142.372763,182.032702,98.024321,-96.155546,-142.372763,-96.155546,1069.692259
0.538695,-0.349478,-0.766598,0.811911,-0.027618,0.583127,-0.224963,-0.936537,0.268868,-161.165749,-358.084382,285.009384,107.570192,4.062095,1.298579,3.377333,-326.918732,-5.428102,81.339804,-5.428102,-436.365985,-337.295387,81.339804,-337.295387,1405.434492
0.796847,0.273355,0.538807,-0.598124,0.230938,0.767408,0.085344,-0.93378,0.347523,74.834985,357.085614,499.328412,137.482089,2.52945,1.215869,3.05045,-151.987157,101.367313,-155.891376,101.367313,-160.886731,-130.112393,-155.891376,-130.112393,1143.056447
-0.160303,0.64249,0.749339,-0.9592,-0.280513,0.035316,0.232889,-0.713105,0.661244,579.525308,-126.620602,468.206113,90.814946,1.617891,0.848321,2.825928,-28.199476,-15.589022,116.673303,-15.589022,110.998739,-123.606212,116.673303,-123.606212,1098.148306
0.023022,-0.672952,-0.739328,0.921003,0.301934,-0.246148,0.388875,-0.675257,0.626742,541.70744,280.575389,269.742259,97.075538,5.033781,0.893432,2.619089,-123.063947,-45.684149,-59.647998,-45.684149,-314.335912,-40.831275,-59.647998,-40.831275,870.158744
