O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
0.471645,-0.876912,-0.092606,0.877993,0.476752,-0.042858,0.081733,-0.061094,0.99478,39.158616,293.129119,272.702143,106.503859,5.145834,0.102221,2.212684,-121.157049,83.730439,2.392796,83.730439,204.845004,87.374462,2.392796,87.374462,-2.764866
0.283151,-0.864668,0.41494,-0.015938,0.428344,0.903475,-0.958943,-0.262433,0.107505,318.319187,-278.396023,544.328571,70.184861,2.711055,1.463083,4.445261,-255.277692,78.049502,70.753125,78.049502,178.564917,70.462868,70.753125,70.462868,137.637093
-0.139882,0.317072,0.938029,-0.768405,0.562719,-0.304797,-0.624489,-0.763422,0.164925,299.331358,-258.6286,273.283821,120.263194,1.256625,1.405114,3.827221,112.456452,103.197637,-8.014435,103.197637,215.273844,131.634797,-8.014435,131.634797,351.773768
0.326595,0.01601,0.945029,-0.248894,0.966023,0.069651,-0.911804,-0.25796,0.319483,278.197666,-408.82336,398.956853,85.235806,1.644366,1.245612,4.436683,-456.513843,-120.359676,-77.712692,-120.359676,-126.861723,-21.363664,-77.712692,-21.363664,519.431737
-0.634199,0.103943,-0.766151,0.38776,0.900052,-0.198868,0.668905,-0.423204,-0.611117,449.59493,-446.211807,308.573164,71.640503,4.966352,2.228268,2.134901,-452.144093,267.895172,-50.763026,267.895172,-170.062525,19.949435,-50.763026,19.949435,276.746374
0.100419,-0.934279,0.342109,-0.210691,0.316081,0.925042,-0.972381,-0.164971,-0.165103,40.226695,-120.13322,389.59885,82.609618,2.787362,1.736659,4.544333,149.182639,-35.267454,-33.181028,-35.267454,-149.876411,-62.097149,-33.181028,-62.097149,375.523055
0.583281,0.642479,-0.496995,-0.162997,0.691993,0.703262,0.795748,-0.329191,0.508348,308.729393,401.392474,340.896914,63.188843,3.756801,1.037531,1.963046,113.466952,0.315748,-81.253645,0.315748,-47.709836,-33.234558,-81.253645,-33.234558,160.339038
-0.395562,-0.504976,0.767157,0.287862,0.72503,0.625674,-0.872162,0.468328,-0.14143,306.491193,477.740519,322.87446,77.260045,2.254962,1.712703,5.205176,-599.081442,-27.379597,174.542784,-27.379597,127.738585,-50.134123,174.542784,-50.134123,332.182749
-0.191473,0.263938,0.945344,-0.620868,0.713401,-0.324933,-0.760172,-0.64915,0.027273,-45.302136,-58.161995,279.426254,71.649617,1.239728,1.54352,4.005605,-273.290362,31.643574,-24.959293,31.643574,-20.223681,21.453335,-24.959293,21.453335,279.88164
0.568633,0.47382,-0.672422,-0.454048,0.862427,0.223741,0.685928,0.178085,0.705542,234.283029,477.468334,518.853795,111.433364,4.391173,0.787609,1.316779,-12.960582,-47.014366,66.421192,-47.014366,92.415784,-65.063007,66.421192,-65.063007,314.188614
-0.007269,-0.696869,-0.717162,0.76439,0.458516,-0.45329,0.644713,-0.551486,0.529346,280.076492,-226.659332,579.119676,74.150083,5.276049,1.012967,2.278416,-7.780155,274.909299,-253.179474,274.909299,66.019415,118.372482,-253.179474,118.372482,161.317881
0.344487,0.183189,-0.920745,0.535184,0.767476,0.352929,0.771302,-0.614347,0.166346,356.84937,451.428399,453.077376,87.492742,4.346355,1.403674,2.243403,96.132223,24.203872,-4.33086,24.203872,304.377352,36.2891,-4.33086,36.2891,352.213494
