O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
0.758352,0.27788,0.589648,-0.42531,0.896439,0.124535,-0.493977,-0.345225,0.798001,-359.87404,431.286649,579.751479,64.85632,1.77894,0.646825,4.102423,-555.930175,74.99872,104.43605,74.99872,-181.733443,-8.408145,104.43605,-8.408145,545.18756
0.818137,0.28508,-0.499382,-0.267897,0.957414,0.10766,0.508806,0.045702,0.859667,-103.323969,131.879487,243.184736,115.31633,4.500053,0.536179,1.481214,-58.782935,25.537384,-152.93791,25.537384,-196.742299,-73.171368,-152.93791,-73.171368,943.412255
0.311944,0.364596,-0.87736,0.565771,0.670576,0.479824,0.763279,-0.646063,0.002904,-60.400263,-395.60132,572.821606,65.84378,4.211933,1.567892,2.273215,-411.88541,179.84232,39.792605,179.84232,5.390099,-4.196391,39.792605,-4.196391,852.568971
-0.498099,0.746343,0.441439,-0.866133,-0.403954,-0.294338,-0.041356,-0.528954,0.847642,55.327412,-440.087256,491.508694,71.973072,0.982723,0.559271,3.219618,-431.216053,25.196938,298.603987,25.196938,-370.035612,-73.457016,298.603987,-73.457016,874.699129
-0.528291,0.384157,-0.757187,0.335602,0.913648,0.229386,0.779923,-0.132931,-0.611595,194.148889,-417.38447,275.080037,90.430343,4.418232,2.228872,1.739615,-123.660334,-62.014195,-19.580075,-62.014195,-298.864766,-10.685359,-19.580075,-10.685359,1026.857234
0.612696,-0.146955,0.776536,-0.371061,0.81404,0.446825,-0.697795,-0.56191,0.44423,238.242022,-56.533167,560.146641,73.660402,2.092937,1.110482,4.034446,98.302718,15.865379,-115.202278,15.865379,-310.083555,-69.196215,-115.202278,-69.196215,608.472859
0.417234,-0.864319,-0.280834,0.902674,0.429955,0.017834,0.105332,-0.260943,0.959591,417.420538,-263.382789,548.977123,70.520223,4.648972,0.285253,2.757934,-511.849775,88.741674,37.182643,88.741674,-198.703495,52.858047,37.182643,52.858047,1150.390068
-0.316188,0.938003,0.14204,-0.561518,-0.305716,0.768919,0.764672,0.163365,0.623369,393.062235,-243.126797,270.677183,120.102643,2.958925,0.897752,1.36032,-163.979147,56.584252,-22.683293,56.584252,128.949282,147.656351,-22.683293,147.656351,1073.155272
-0.738073,-0.600325,-0.307989,0.545524,-0.799567,0.25119,-0.397053,0.017381,0.917631,-285.03889,481.97124,322.105792,103.515713,4.02822,0.408719,4.756136,-169.02348,67.264523,-73.122662,67.264523,-21.833543,38.111043,-73.122662,38.111043,900.105146
0.751156,-0.330388,0.571497,-0.46233,0.35465,0.812696,-0.471186,-0.874681,0.113649,118.78963,19.487096,328.038677,85.907533,2.528714,1.456901,3.635715,-292.906798,160.072027,106.117194,160.072027,-139.108433,-1.129907,106.117194,-1.129907,1135.210451
0.258718,0.762183,0.593415,-0.723461,-0.254171,0.641873,0.640054,-0.595377,0.485651,-326.909099,-69.22719,401.99857,84.157764,2.395402,1.063688,2.320048,-472.544731,-264.317481,41.707406,-264.317481,193.642407,78.403729,41.707406,78.403729,854.490888
0.122044,0.289339,0.949415,-0.990107,-0.031235,0.136794,0.069234,-0.956717,0.282665,-170.149227,123.337953,468.972485,68.542125,1.713894,1.284226,3.069352,-577.718794,-33.48501,254.66521,-33.48501,-471.124952,-60.45899,254.66521,-60.45899,1176.788675
0.131022,0.986846,-0.094705,-0.977799,0.144394,0.151853,0.16353,0.072707,0.983855,564.369964,127.590102,307.727951,72.567302,3.699231,0.179934,1.152436,-391.466219,-71.289901,25.588972,-71.289901,-665.858829,-22.704462,25.588972,-22.704462,1472.096723
-0.72424,-0.039582,-0.688411,0.456427,0.720818,-0.521628,0.516866,-0.691993,-0.503979,165.411821,236.799467,421.096104,108.89381,5.360817,2.098996,2.500064,141.657435,29.767746,-139.306891,29.767746,-92.684499,-6.790073,-139.306891,-6.790073,797.155241
0.439859,0.108539,-0.891484,0.454466,0.82928,0.325199,0.774587,-0.548191,0.315439,-17.518323,-323.047981,301.732263,160.464273,4.362604,1.249877,2.186686,-201.475568,13.186672,98.454694,13.186672,-211.917354,10.155412,98.454694,10.155412,905.813874
0.890685,0.447422,0.080589,-0.328063,0.509835,0.795263,0.31473,-0.734767,0.600885,-275.330694,-185.83925,553.165712,75.984781,3.040601,0.926188,2.736896,-492.478988,459.202361,-119.231843,459.202361,82.922654,177.972575,-119.231843,177.972575,394.337267
0.486536,0.277613,-0.82838,0.465499,0.72,0.514695,0.73932,-0.636028,0.221077,480.454605,184.557274,214.57873,72.253246,4.156435,1.347877,2.281233,-203.461685,-21.375164,-98.827306,-21.375164,-214.341929,-137.93165,-98.827306,-137.93165,1012.886838
-0.291368,0.247113,0.924143,-0.37886,0.857257,-0.348677,-0.87839,-0.451714,-0.156157,-139.806994,311.133943,323.314973,96.602951,1.210013,1.727595,4.237405,-23.889768,73.613169,-38.11889,73.613169,-138.043967,60.951133,-38.11889,60.951133,1097.286907
0.288638,0.245979,0.925301,-0.255249,0.951227,-0.173248,-0.922787,-0.186176,0.337347,275.286799,-141.018578,374.917132,79.459196,1.385705,1.226699,4.513307,-688.282684,176.822382,13.617392,176.822382,-483.067483,80.939995,13.617392,80.939995,1168.482162
-0.145225,0.927824,0.343587,-0.527382,-0.366415,0.766557,0.837125,-0.069878,0.54253,161.708723,343.64634,397.613758,85.384897,2.720218,0.99735,1.654077,-508.88295,-93.444399,-165.559881,-93.444399,-143.920165,-207.155161,-165.559881,-207.155161,1092.73986
-0.494269,0.816014,0.2997,-0.844155,-0.532875,0.058703,0.207606,-0.223978,0.952226,473.026654,389.352718,216.305858,92.752761,1.764221,0.310354,2.394113,-41.936062,62.825255,38.987051,62.825255,-480.227173,20.742233,38.987051,20.742233,1198.748792
0.283657,0.268442,-0.920585,0.400221,0.839264,0.368048,0.871414,-0.472837,0.130627,489.510432,-64.128838,552.549312,97.596055,4.332057,1.439795,2.067947,-408.062086,67.783506,157.588535,67.783506,-156.413165,-41.561951,157.588535,-41.561951,964.57336
0.267365,0.534787,-0.801573,-0.062897,0.839767,0.539291,0.96154,-0.093771,0.258161,-31.582729,80.569031,423.741433,108.865511,4.120158,1.309679,1.668011,-191.888866,0.681947,-24.996981,0.681947,-135.439622,-138.771323,-24.996981,-138.771323,1036.807901
0.727508,0.685108,-0.036877,-0.284863,0.350515,0.892184,0.624168,-0.638566,0.450165,138.725601,225.650361,387.513455,103.221604,3.182902,1.103847,2.367596,108.449344,-45.672373,41.840269,-45.672373,-257.466017,-2.191907,41.840269,-2.191907,869.483568
0.361986,-0.826162,0.431767,0.465507,0.561498,0.684122,-0.807632,-0.046652,0.587839,-334.301625,120.615981,400.371579,91.568696,2.578601,0.942412,4.654689,-209.794788,-79.307757,-57.710965,-79.307757,-62.473878,37.726984,-57.710965,37.726984,770.441609
