O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
-0.2766,0.758552,0.589993,-0.897111,-0.423917,0.124446,0.344506,-0.494867,0.797761,-324.482911,406.353579,564.733984,62.909791,1.778677,0.647224,2.533449,-652.540477,149.865797,90.608747,149.865797,85.841431,84.310187,90.608747,84.310187,549.026043
0.876912,0.088505,0.472432,-0.47721,0.04291,0.877741,0.057412,-0.995151,0.079864,124.64034,305.965966,272.484263,105.800184,2.647826,1.490848,3.083965,-354.148742,67.080321,-4.074488,67.080321,-27.363718,70.552401,-4.074488,70.552401,875.446469
-0.641136,0.193527,0.742625,-0.753992,0.02143,-0.656534,-0.142971,-0.980861,0.132178,384.622159,250.066797,222.356198,64.877587,0.846852,1.43823,3.286334,-641.750414,-167.877852,-273.626162,-167.877852,-488.10429,-10.657122,-273.626162,-10.657122,1309.292115
0.147053,0.61265,0.776554,-0.814336,-0.370651,0.446626,0.561455,-0.698054,0.444398,229.975368,-46.52915,558.696891,73.029958,2.092735,1.110295,2.464226,383.888951,-46.752997,-23.904404,-46.752997,-137.507248,58.132842,-23.904404,58.132842,508.806434
-0.434374,0.239522,0.868302,-0.76384,0.412927,-0.496023,-0.477354,-0.878704,0.003592,509.975291,462.682219,364.617837,81.327545,1.05178,1.567205,3.639237,-374.1068,70.796756,-60.563184,70.796756,-80.558406,-174.435594,-60.563184,-174.435594,882.4562
0.592051,-0.388772,-0.705926,0.805895,0.282459,0.520337,-0.002897,-0.876968,0.480539,-230.274719,287.17564,200.843024,68.22408,4.077196,1.069527,3.144896,-433.54756,163.051734,-217.47968,163.051734,-236.699078,-82.641879,-217.47968,-82.641879,758.070133
0.457146,0.410416,-0.789035,-0.112281,0.906696,0.406564,0.882276,-0.097266,0.460574,323.387066,-286.730891,354.376695,102.627038,4.236602,1.092154,1.680597,-106.67615,53.881759,124.254764,53.881759,-309.086074,90.95927,124.254764,90.95927,946.847403
-0.04048,-0.724385,0.688206,0.720894,0.455751,0.522114,-0.691862,0.517259,0.503756,149.469326,239.596566,416.732496,108.339407,2.219816,1.042855,5.354373,-10.378909,-49.490129,-59.650595,-49.490129,-59.980158,-2.365385,-59.650595,-2.365385,778.947467
0.439734,0.10871,-0.891525,0.454545,0.829194,0.325309,0.774612,-0.548287,0.315211,-22.259206,-322.580146,301.580342,159.811135,4.362511,1.250118,2.186753,-237.980534,100.12889,108.543797,100.12889,-45.826923,73.263063,108.543797,73.263063,837.12396
0.487407,0.277075,-0.828048,0.466562,0.718951,0.515198,0.738075,-0.637447,0.221149,480.083215,176.677489,208.431911,73.175146,4.155817,1.347804,2.283169,-205.256712,-57.622794,-109.229758,-57.622794,-212.40602,-189.332197,-109.229758,-189.332197,986.215454
0.635636,-0.609333,0.474004,-0.460964,0.19295,0.866188,-0.619256,-0.76908,-0.158235,-174.678711,-111.854698,206.689679,76.189562,2.640879,1.729699,3.819491,-130.469614,179.412901,248.714539,179.412901,-203.389153,-82.827576,248.714539,-82.827576,737.58082
0.416873,-0.561297,-0.714957,0.878431,0.046619,0.475591,-0.233617,-0.826301,0.512494,-332.794774,72.597572,560.774597,79.473054,4.125401,1.032709,3.417128,-35.597083,34.190405,-103.942016,34.190405,-290.258021,20.809563,-103.942016,20.809563,518.343072
-0.343887,0.144528,0.927822,-0.767552,0.525934,-0.36641,-0.54093,-0.838156,-0.069929,155.379833,323.907533,401.108638,85.045404,1.194682,1.640782,3.714714,-358.575906,-10.808444,-222.778536,-10.808444,-139.132147,-273.228685,-222.778536,-273.228685,912.356386
0.129417,0.699066,-0.703248,-0.647946,0.596477,0.473689,0.750611,0.394363,0.530151,545.244801,43.171984,449.416959,82.136611,4.11962,1.012017,1.087044,-593.192209,-65.561333,23.836118,-65.561333,-176.625801,-169.046797,23.836118,-169.046797,1120.194667
0.535761,0.724764,-0.433217,-0.38759,0.666912,0.636398,0.750156,-0.173046,0.638217,447.488305,453.098983,551.9275210000001,73.95344,3.739271,0.878616,1.79751,13.863478,-325.075391,55.186219,-325.075391,-279.874698,184.959979,55.186219,184.959979,1184.036925
0.854489,0.260578,0.449387,-0.340581,0.934234,0.105882,-0.392242,-0.243527,0.88704,338.465425,501.848876,228.917338,91.105801,1.80219,0.479901,4.156772,-701.867324,-125.021399,246.809856,-125.021399,-490.865326,-1.004058,246.809856,-1.004058,1151.085115
0.562245,0.319113,-0.76292,0.239322,0.820284,0.519479,0.791584,-0.474658,0.38483,345.474917,-134.849566,510.547351,86.554658,4.114591,1.175772,2.110944,-27.534159,165.647406,2.634818,165.647406,-19.694545,-27.135422,2.634818,-27.135422,883.650367
-0.268528,-0.84717,-0.458471,0.919792,-0.366883,0.139207,-0.286137,-0.384317,0.877739,-195.959114,-429.827877,276.617635,105.173892,4.417602,0.499673,3.781587,-301.057264,-118.197625,-154.688726,-118.197625,-18.81097,-40.210066,-154.688726,-40.210066,936.305663
-0.469489,0.331484,0.818351,-0.875803,-0.292428,-0.383998,0.112019,-0.896997,0.427607,133.856559,453.225109,564.183198,70.008817,1.132063,1.128953,3.017353,-102.596703,4.242904,-158.970017,4.242904,-167.54085,-14.555803,-158.970017,-14.555803,596.991926
0.308698,-0.85182,-0.423212,0.932697,0.358332,-0.040908,0.186496,-0.3821,0.905107,-255.794492,-17.151537,506.573783,91.80253,4.80875,0.439165,2.687525,98.677121,-48.69237,-251.024165,-48.69237,24.559251,11.867696,-251.024165,11.867696,593.85082
-0.337188,0.540516,0.770809,-0.796724,0.272342,-0.5395,-0.501532,-0.796035,0.338812,-359.10552,398.423339,264.515345,90.517286,0.960128,1.225142,3.703807,-221.501612,101.059212,-24.959,101.059212,-27.419399,113.082151,-24.959,113.082151,572.461174
0.306249,-0.922282,0.235813,-0.062893,0.227571,0.971728,-0.949871,-0.312422,0.011688,151.423744,-382.326468,434.665084,104.433917,2.903521,1.559108,4.394625,-129.724607,-49.320551,-19.776053,-49.320551,-256.797856,-20.366753,-19.776053,-20.366753,1102.791387
-0.512749,0.765652,0.388414,-0.827495,-0.320183,-0.461232,-0.228779,-0.557907,0.797747,-81.39555,-422.344816,218.160601,111.880021,0.699903,0.647247,3.530748,-190.388209,-127.321192,83.573605,-127.321192,-24.740055,-78.26889,83.573605,-78.26889,719.123842
-0.009955,0.88716,0.461355,-0.562823,-0.386327,0.73074,0.826517,-0.252387,0.50316,-244.208376,-232.174966,463.926703,93.450329,2.578438,1.043545,1.867165,52.715064,85.107206,-41.453265,85.107206,-175.893576,-156.832082,-41.453265,-156.832082,826.390333
0.248139,-0.854898,0.455607,-0.32659,0.368956,0.870179,-0.912012,-0.364721,-0.187649,-177.873034,-274.781526,369.011587,86.448616,2.659261,1.759564,4.331962,5.045052,66.130148,26.301416,66.130148,-263.102434,6.384491,26.301416,6.384491,1025.611102
0.390008,-0.675288,0.626003,-0.386275,0.497146,0.776941,-0.835874,-0.544823,-0.066956,124.851885,-227.870487,246.915061,74.538578,2.463369,1.637802,4.134749,-352.961145,-213.720336,54.012713,-213.720336,-59.661688,-98.061302,54.012713,-98.061302,1008.682294
-0.579497,0.808762,0.100434,-0.813429,-0.581575,-0.010196,0.050164,-0.087604,0.994891,-29.808821,273.433094,496.642806,87.916063,1.469625,0.101123,2.62155,-357.458474,263.666503,-120.464146,263.666503,-387.36614,44.907822,-120.464146,44.907822,891.806335
0.493465,-0.530018,-0.689618,0.843572,0.098533,0.527899,-0.211846,-0.842242,0.495731,194.352343,429.307638,277.465008,88.674872,4.059045,1.05212,3.388007,-201.322068,79.901478,-289.773037,79.901478,-249.395046,-9.863588,-289.773037,-9.863588,866.883032
