%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,num_spots,eqv_strain,strain/error,Confidence/R
47098.0,0.758352,0.27788,0.589648,-0.42531,0.896439,0.124535,-0.493977,-0.345225,0.798001,-359.87404,431.286649,579.751479,3.58457,3.59347,3.595064,90.026856,90.147668,89.9277,237.455096,0.071608,0.084566,64.85632,0.871429,-2586.422082,1254.362815,479.234303,1254.362815,-1190.611747,-305.298411,479.234303,-305.298411,680.457021,-555.930175,74.99872,104.43605,74.99872,-181.733443,-8.408145,104.43605,-8.408145,545.18756,706.834635,1.0,1.77894,0.646825,4.102423,0.0,122.0,976.1662756259582,1.3810391105494684,0.013436300425309362
46863.0,0.818137,0.28508,-0.499382,-0.267897,0.957414,0.10766,0.508806,0.045702,0.859667,-103.323969,131.879487,243.184736,3.592573,3.594232,3.598645,90.033625,89.93114,90.004425,90.694412,0.060571,0.058579,115.31633,0.992958,-569.670083,272.764111,-521.86766,272.764111,-235.941353,-189.862855,-521.86766,-189.862855,1146.781892,-58.782935,25.537384,-152.93791,25.537384,-196.742299,-73.171368,-152.93791,-73.171368,943.412255,210.926871,1.0,4.500053,0.536179,1.481214,0.0,141.0,1087.9969460133939,5.158171364583481,0.008610731888536515
47574.0,-0.286287,0.582725,-0.760573,0.730844,0.646134,0.21995,0.619603,-0.492892,-0.61086,453.212137,-186.964599,486.527974,3.597187,3.59397,3.596658,89.887095,90.014999,90.013449,109.157312,0.056442,0.057435,93.547302,1.0,-599.976142,-618.096691,187.868035,-618.096691,426.427144,-154.28314,187.868035,-154.28314,1171.906212,-111.715157,-248.333388,50.91525,-248.333388,338.237613,94.187017,50.91525,94.187017,995.053288,855.900929,1.0,4.43088,2.227943,2.242785,0.0,132.0,992.0938110073854,1.1591222504764747,0.010689779166479863
47065.0,0.876934,0.088236,0.472441,-0.477191,0.042816,0.877756,0.057222,-0.995179,0.079653,128.86294,299.029043,279.590723,3.592821,3.599148,3.593279,90.024858,89.995547,90.008867,71.277646,0.059024,0.0582,105.953722,0.992958,-489.570461,59.788787,21.703362,59.788787,-478.09362,86.474873,21.703362,86.474873,1253.488312,-448.677589,107.960064,-39.935307,107.960064,-79.094355,89.521253,-39.935307,89.521253,1089.376077,354.756667,1.0,2.647825,1.491059,3.084157,0.0,141.0,1396.3202328195243,3.9359943383939964,0.009371619809637268
48533.0,0.311944,0.364596,-0.87736,0.565771,0.670576,0.479824,0.763279,-0.646063,0.002904,-60.400263,-395.60132,572.821606,3.596563,3.592453,3.593988,89.988369,90.034123,90.08391,161.31296,0.05929,0.066209,65.84378,0.92029,-264.913905,-221.147749,471.458782,-221.147749,-824.696444,245.738803,471.458782,245.738803,749.938724,-411.88541,179.84232,39.792605,179.84232,5.390099,-4.196391,39.792605,-4.196391,852.568971,759.127055,1.0,4.211933,1.567892,2.273215,0.0,127.0,1127.2959360709447,1.4849898032825937,0.013976870708212684
49300.0,-0.718233,0.673185,-0.175964,-0.549981,-0.394345,0.736216,0.426219,0.625551,0.65347,-240.058772,219.11764,263.074208,3.594559,3.598907,3.59566,90.0013,89.971505,90.001955,88.984481,0.065791,0.056961,99.845442,1.0,589.205644,-473.243195,337.904443,-473.243195,101.526639,-155.887093,337.904443,-155.887093,673.865296,-294.545845,-134.874854,10.037161,-134.874854,37.847476,-32.311166,10.037161,-32.311166,905.641372,424.183857,1.0,3.376203,0.858636,0.598099,0.0,142.0,1080.047428372149,2.5461775844339805,0.010015479725153603
48855.0,-0.498099,0.746343,0.441439,-0.866133,-0.403954,-0.294338,-0.041356,-0.528954,0.847642,55.327412,-440.087256,491.508694,3.592364,3.594766,3.598399,89.989235,90.000286,89.923952,135.273907,0.069177,0.070933,71.973072,0.916667,-391.96176,-752.083387,557.223941,-752.083387,77.922354,23.070795,557.223941,23.070795,677.148926,-431.216053,25.196938,298.603987,25.196938,-370.035612,-73.457016,298.603987,-73.457016,874.699129,544.316587,1.0,0.982723,0.559271,3.219618,0.0,132.0,1304.092562722472,2.3958346922881333,0.012736249468412297
46842.0,0.193319,-0.742324,0.641547,0.021133,0.65688,0.753699,-0.980908,-0.132146,0.142675,420.358308,251.216331,221.481883,3.59841,3.592282,3.585812,89.973118,90.101746,89.974157,197.603096,0.080126,0.07629,63.75844,0.864865,-1869.584333,-1011.999085,161.353202,-1011.999085,-1495.314502,277.85338,161.353202,277.85338,1216.682378,-56.67808,-143.156204,-187.546521,-143.156204,-783.993579,88.389189,-187.546521,88.389189,1279.131401,599.196984,1.0,2.436403,1.427633,4.578477,0.0,128.0,1825.524521231852,3.0466183408424032,0.013564713942185537
46843.0,-0.528291,0.384157,-0.757187,0.335602,0.913648,0.229386,0.779923,-0.132931,-0.611595,194.148889,-417.38447,275.080037,3.595734,3.594387,3.595454,89.993454,90.093493,89.984296,87.017588,0.080505,0.065528,90.430343,0.993056,-565.698667,105.545582,244.965252,105.545582,-58.149721,135.539407,244.965252,135.539407,999.26032,-123.660334,-62.014195,-19.580075,-62.014195,-298.864766,-10.685359,-19.580075,-10.685359,1026.857234,391.685414,1.0,4.418232,2.228872,1.739615,0.0,143.0,1248.6875236575945,3.1879857636403957,0.010981446791592952
47163.0,0.612696,-0.146955,0.776536,-0.371061,0.81404,0.446825,-0.697795,-0.56191,0.44423,238.242022,-56.533167,560.146641,3.595327,3.594942,3.593329,90.01009,90.040119,89.951288,115.153439,0.0564,0.054445,73.660402,0.878378,-563.996567,10.484719,-164.433927,10.484719,-223.438321,-57.166782,-164.433927,-57.166782,613.939556,98.302718,15.865379,-115.202278,15.865379,-310.083555,-69.196215,-115.202278,-69.196215,608.472859,561.449093,1.0,2.092937,1.110482,4.034446,0.0,130.0,805.6878717467526,1.435015002770256,0.011924697342813848
