id,x,y,z,block_id,ori_rodrigues_x,ori_rodrigues_y,ori_rodrigues_z
0,0.287553142883,0.1962755337265,0.02307937989175,2,-0.077605890332649,0.21279917717431,-0.26666002245043
1,0.31633692844075,0.119730786755,0.02307937989175,2,-0.079600349289746,0.21212151712773,-0.26606801316108
2,0.5146851890695,0.35033000626,0.28698984699875,2,-0.077253890097748,0.21457259079975,-0.26087648096835
3,0.4326501951315,0.361502419485,0.2535098059025,2,-0.076947902106359,0.21430059182503,-0.26168076636278
4,0.39774104084075,0.296075951585,0.20937163671,2,-0.079133654874526,0.21267819253895,-0.2634442140982
5,0.25438130321025,0.01827237348575,0.03306019668125,2,-0.077996037374234,0.21216679566625,-0.26906863676558
6,0.42167504869975,0.125997654728,0.05853770739875,2,-0.079620033712089,0.21212379582839,-0.26644836994609
7,0.37584725738525,0.08145841326925,0.05853770739875,2,-0.07872852758287,0.21252973727378,-0.26579912224178
8,0.347078892672,0.0324706491095,0.11159790408,2,-0.079562160621446,0.21236301940566,-0.26595269046309
9,0.50854795299175,0.293218624521,0.34872036190725,2,-0.077911797651717,0.214052183299,-0.26286144906436
10,0.416845319339,0.3241431796975,0.1127026654865,2,-0.079694214786852,0.21266613716976,-0.26383164555171
11,0.2875685637275,0.07074302259525,0.076139576573,2,-0.077432969523212,0.21265960323144,-0.26710846017245
12,0.427636920219,0.21301344134525,0.02307937989175,2,-0.079388635192214,0.21212452799439,-0.26655884903108
13,0.35302534334675,0.245018946858,0.02307937989175,2,-0.081812797249526,0.21213357474369,-0.26500728463088
14,0.345985471476,0.29325211468875,0.06668815443375,2,-0.081245186319489,0.21099951098294,-0.26547432366617
15,0.35331662921425,0.09141920761425,0.2082668753035,2,-0.077251864317763,0.21445754569222,-0.26473560142423
16,0.50619153943525,0.2914731352695,0.11164341277575,2,-0.080335606595664,0.21257829339519,-0.26541563286472
17,0.179418192468,0.04589378203825,0.03306019668125,8,-0.86025184538319,-0.077944448353629,0.24157565594072
18,0.0601603114245,0.179994447681,0.2283819734505,8,-0.85476199008095,-0.078429871452052,0.2408556594094
19,0.0231783559805,0.01272218491775,0.26278396844425,8,-0.85475857844967,-0.078188412750311,0.2420725486217
20,0.00348652545375,0.04779265485725,0.06639776305625,8,-0.85739196199553,-0.078605632882538,0.24176560264885
21,0.36690580504375,0.34132790934225,0.31179658610775,8,-0.85051026748866,-0.087114353089873,0.24311068480646
22,0.134941619838,0.27279442675275,0.252062465129,8,-0.85404815962837,-0.080070244529039,0.23950782192608
23,0.04666488143425,0.04779265485725,0.135531446057,8,-0.85703447473412,-0.078275226366432,0.24092405441659
24,0.33417259943225,0.459084011544,0.32625896421675,8,-0.85443368723448,-0.085248190169859,0.24511328477374
25,0.22730927801475,0.29538499139425,0.21036219569725,8,-0.85883733891869,-0.079673597302544,0.24238798683448
26,0.107200583496,0.39219938020775,0.11971107081225,8,-0.85530822345447,-0.083104085263984,0.24156592072781
27,0.01483292531925,0.3452971589145,0.0193727500055,8,-0.85931489330536,-0.078525550360301,0.24081914309575
28,0.2221938202395,0.28466843652825,0.10606090443925,8,-0.86073411430946,-0.079711766563707,0.24192646209997
29,0.0618059762265,0.1795687076,0.0193727500055,8,-0.8587780849798,-0.078266500917609,0.24066101298981
30,0.01483292531925,0.405464082427,0.07610229627025,8,-0.85753825930332,-0.079182112730819,0.23664477894081
