Fe_11,Fe_12,Fe_13,Fe_21,Fe_22,Fe_23,Fe_31,Fe_32,Fe_33,cauchy_stress_xx,cauchy_stress_xy,cauchy_stress_xz,cauchy_stress_yy,cauchy_stress_yz,cauchy_stress_zz,ee_xx,ee_xy,ee_xz,ee_yy,ee_yz,ee_zz,id,nye_tensor_11,nye_tensor_12,nye_tensor_13,nye_tensor_21,nye_tensor_22,nye_tensor_23,nye_tensor_31,nye_tensor_32,nye_tensor_33,ori_rodrigues_x,ori_rodrigues_y,ori_rodrigues_z,strain_xx,strain_xy,strain_xz,strain_yy,strain_yz,strain_zz,x,y,z
0,0,0,0,0,0,0,0,0,-37.141279772083,51.110121789223,21.33442930542,-48.823247256495,35.648561001739,699.06761029529,-0.0014523364535729,0.00060227873669342,-0.00032900443022836,-0.0013290071824442,0.00059874811283194,0.0039135908809216,0,0.00055354342504727,0.00055354342504727,5.8387698405829e-05,-0.00053807494415081,0.00019959467077191,0.00040678614318037,0.0014088796624357,0.0011094994558447,0.0015057783707276,0.038904570097679,-0.45184120856689,-0.56458705021509,-0.022054376343674,-0.020065802989742,0.014630752927183,-0.069938986650941,0.0066078929000483,0.093946741370145,-189.999905,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,-104.49586810411,19.177444489728,-5.8700680225919,-53.312106890864,8.9931013841044,675.52163583034,-0.0017810212213438,0.00029094560454977,-0.00063718116478115,-0.0011953575888265,0.00025632911551971,0.003932465775199,1,0.00023588195172455,0.00023588195172455,0.00024437826418992,-0.00030803734475302,0.00051731777823545,-0.00024474544678008,0.00082553935715047,0.00040106709933405,0.0011137893943994,0.041946822809299,-0.4511089404412,-0.56539241740415,-0.023205184990495,-0.018200002010384,0.014207320255579,-0.066303768718237,0.0047369716527571,0.091286171804385,-169.999915,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,-133.72220384599,-21.405134166031,-128.20213542938,78.04188107414,-17.835018949728,793.53761178645,-0.0024705067585662,-7.6346870359196e-05,-0.0019929316211343,-0.00067279610788775,-0.00012680372709066,0.0045059397629577,2,-0.0010864468116564,-0.0010864468116564,3.7712555268564e-05,-0.00050897029796411,0.00045057418249801,-0.00072061682015979,-0.00037908152703005,-0.0017890078220214,0.00062532620148441,0.046730156271828,-0.45123701844912,-0.5676672990004,-0.028133025708376,-0.017179351027546,0.012313333822563,-0.064858579860757,0.0017570567878781,0.095175373596262,-149.999925,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,1.0688554537894,79.696086140623,97.825851292469,-58.813118245592,18.88322258582,595.86572661727,-0.00082307254162123,0.00060262436255469,0.00080855964513858,-0.0012623601690059,-0.00012598075141459,0.0030792077567319,3,-0.00024417656249108,-0.00024417656249108,-0.00058393169928145,-0.00029270940149692,0.00038658171024229,0.001527411237109,-0.0001404446558058,-2.4707155224767e-05,0.00072854226162594,0.26931472184241,0.59754713781044,0.41428437578381,-0.045408093996134,0.031620852428398,-0.0013354175607498,-0.054550214708144,0.00048720599331178,0.099219062529043,-129.999935,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,-49.852060165201,40.920612896735,4.174565334628,-43.819501200351,8.6746277164355,586.22757330752,-0.0011774200726012,0.00019880912380157,-0.00022718433994468,-0.0010984080030687,-0.00023343393167875,0.0031854551884727,4,0.0002178293955112,0.0002178293955112,-0.0003434048272067,-0.00028639956641545,0.00025355982763446,0.00086300008752965,-8.0016433361648e-05,0.00039315506712265,0.0010537101641633,0.26144146431459,0.59792494075582,0.40980888508211,-0.049204040914199,0.030537094694693,-0.0025196497856726,-0.042240799648782,-0.00065170239596264,0.090621446454443,-109.999945,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,-105.40695973101,-63.637772475899,-21.044178152981,-60.281772955577,-8.1488938710127,610.73266068751,-0.0015178925624361,-0.00079699120483149,-0.00058750168064135,-0.0011709549873638,-0.00048209936146735,0.003510731789324,5,0.00052245302972132,0.00052245302972132,0.00023552741779519,-0.00089503935811801,-0.00032898791341301,-0.00019771994680723,-0.00018370657248201,-5.5031970424799e-05,0.00079565143915928,0.258594579662,0.60007368486701,0.40965524873455,-0.049295516091142,0.027858044181049,-0.002212351425581,-0.038599844272251,-0.0001576927120761,0.086984223381578,-89.999955,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,-55.365701851626,-73.809096837024,-12.324820802076,-46.116261191845,-13.613857995557,648.01471386182,-0.0013339158651401,-0.00090303718179957,-0.00052453283041311,-0.0012618999943979,-0.00052345069944526,0.0036051244379046,6,0.0014233425749595,0.0014233425749595,0.001076589343729,-0.0013391892626705,-0.0017395359001739,-0.0020955909331986,-0.00044401536256842,0.00081747351228268,0.0018598062083306,0.2675403758117,0.60750396022586,0.41915956923034,-0.03142186572672,0.022458080716652,-0.002724695529205,-0.052407109774877,0.0030845069423422,0.083105262858624,-69.999965,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,216.5919502624,-51.207508557724,45.614090919629,-19.378086002292,12.514231395447,693.90619034496,0.00015641798389598,-0.00064638813250348,0.00013588564452259,-0.0017746212916087,-0.00017323553480228,0.0032638779980596,7,7.692459732116e-05,7.692459732116e-05,-0.00022197855932386,0.00066098210326423,-0.00028583800861996,-3.2755939282926e-05,0.00021117250502159,0.0018964579227374,0.0006455061168553,0.27698855856628,0.61478454892507,0.4313367475803,-0.0073881290708877,0.015153420660394,-0.001933482140747,-0.066715568831756,0.0067805992264443,0.07401635137165,-49.999975,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,493.96042348827,-72.753957683785,-20.138494956542,-90.014759483106,15.938271533959,653.61682405145,0.0020127028366631,-0.00085479026483916,-0.00051546667896315,-0.0028113429440468,-4.15477768355e-05,0.0027516921244056,8,-9.3212081830382e-05,-9.3212081830382e-05,-0.00086889039713014,0.00075093587154521,0.00021622276175926,-0.00021252616869669,0.00014700471015252,0.00031765109475059,-0.00029776694994872,0.27548733717259,0.61517715379373,0.43277030547278,-0.00084846294311013,0.010840708359009,0.00060641016077537,-0.068525128930541,0.0081488110925558,0.069593622669333,-29.999985,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,684.34944013566,-49.475520900316,-10.767968249371,-86.184835064152,-94.603488920443,681.11004530663,0.0030607946902412,-0.00067783109491494,-0.00029753349587431,-0.0033083117871929,-0.0012407264982601,0.0026100157336396,9,0.00026088977988703,0.00026088977988703,-0.0012986233372108,0.00046810537431802,0.0019142417041101,-0.0017390586046279,-0.00017746216278511,-0.0013458871016088,0.00014629906877195,0.2735084589483,0.61521634663285,0.43583103109914,0.0012894143767476,0.011894567913046,0.0027357557860172,-0.075013093008887,0.0045483464915707,0.074353156047487,-9.999995,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,645.48449968191,160.19796445807,-47.374727441368,21.623018444253,144.97056528092,1191.0216980207,0.0013036794404315,0.0018037914288241,-0.00068066127439741,-0.0037073674763694,0.0019310248023288,0.0058351855166699,10,-0.0029524186436725,-0.0029524186436725,-0.0049848092670691,0.00039202560231138,0.0010415400310537,-0.00072045369020728,-0.00060854993747325,-0.001665726489711,-0.00022198114427651,-0.26568910113621,0.81817644093163,-0.46039843904967,-0.006295932455834,-0.025720876920047,0.012574240825185,-0.090353720686346,-0.012237258452718,0.099830874097735,9.999995,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,444.78159811434,162.17460113662,-111.85848252938,-9.5686311736188,16.396732061689,1101.7320121094,0.00032414355741594,0.0018256728531365,-0.0015077451668881,-0.0032474239326719,0.00049942033148468,0.005761631324051,11,-0.0011403566196433,-0.0011403566196433,-0.0016806785195121,-7.7896948884705e-05,-0.0010307177664649,8.4633531728079e-05,-0.0002086531421908,0.00021819022942264,0.0010741671420726,-0.28885664738112,0.81156424464317,-0.45694680273291,-0.026291731207474,-0.041755855728021,0.013256861020074,-0.08562984165048,-0.019731749495458,0.11719298651139,29.999985,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,362.88528541662,151.5391327899,-157.51921742771,23.263729678462,-5.0429711372641,1116.2348073773,-0.00025399740683337,0.0017422282588554,-0.0020207334906057,-0.0029323108270252,0.0001771313129968,0.0059608334160185,12,0.0001205831738489,0.0001205831738489,-0.00053828360938401,-0.0010748901833477,-0.00060457408459548,-0.0011199916396004,0.00043720814992455,-0.00045504909720686,0.00030382399059873,-0.29912326377485,0.81036020419041,-0.45527049415856,-0.034950782497972,-0.048112061466926,0.015292767232218,-0.084435610189974,-0.020068090001235,0.12482450546779,49.999975,-164.54473171915,10.000096666667
0,0,0,0,0,0,0,0,0,278.15141850473,149.52793336293,-116.69184700036,-12.155010603397,-22.021276729698,1047.350373676,-0.00054353971591117,0.0017443277033049,-0.0016028507401743,-0.0027961457076073,2.4582353447073e-05,0.0057651067199209,13,7.3882022970316e-05,7.3882022970316e-05,4.3301001322799e-05,-0.000769379936249,-0.0006594315069269,-0.0014085257544091,0.00047385597656564,-0.00059950637092079,0.00024461434794897,-0.30269206503287,0.81126708507738,-0.45766940322594,-0.039061686117147,-0.054664920303987,0.019328378699874,-0.084149779931883,-0.018737538841527,0.12830047494312,69.999965,-164.54473171915,10.000096666667
