%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,Zraw,eqv_strain,strain/error,Confidence/R
46028.0,-0.874162,-0.393786,-0.284207,0.483868,-0.75612,-0.440629,-0.041381,-0.5227,0.851512,546.205488,-138.939702,472.922886,3.596939,3.596297,3.59668,90.066273,90.102365,89.964068,140.544981,0.074377,0.070545,82.670599,0.862319,218.461617,-360.675322,891.378449,-360.675322,261.627299,-258.362147,891.378449,-258.362147,1102.005023,-163.571057,99.027703,-11.069163,99.027703,105.650666,-71.590411,-11.069163,-71.590411,1103.596677,515.82955,1.0,5.710331,0.551934,3.220596,0.0,72.922886,1161.178698998088,2.251089917198594,0.010430782048645856
46943.0,0.298757,0.769837,0.563999,-0.694041,-0.230367,0.682084,0.65502,-0.595216,0.465475,505.115648,345.999023,513.977762,3.595413,3.594296,3.590066,90.118508,89.985397,90.027881,166.46545,0.069144,0.068967,79.195744,0.905797,-1438.241939,-802.652551,-285.101239,-802.652551,-394.968194,-32.413326,-285.101239,-32.413326,594.246402,-30.037816,-126.689217,-110.929186,-126.689217,-523.845514,172.672953,-110.929186,172.672953,1105.019186,650.844864,1.0,2.450678,1.086626,2.308396,0.0,113.977762,1461.618578385283,2.2457249941289894,0.011437445426360285
47624.0,0.417132,-0.864672,-0.279898,0.902781,0.429728,0.017883,0.104817,-0.260146,0.959863,438.964154,-265.840022,552.4294,3.593152,3.594982,3.59941,90.011625,89.986145,90.007957,134.459933,0.071694,0.070344,71.820443,0.895833,47.930885,-171.973055,-217.745792,-171.973055,-398.653517,49.732557,-217.745792,49.732557,1275.443005,-504.348512,-9.964618,-74.938612,-9.964618,-313.725425,40.574921,-74.938612,40.574921,1300.654226,601.617389,1.0,4.648586,0.284282,2.758574,0.0,152.4294,1719.2492290444081,2.85771199516377,0.012473231333312717
48133.0,-0.600123,0.782984,-0.163671,-0.728303,-0.450227,0.516595,0.330797,0.429222,0.840441,428.315749,501.242077,363.210148,3.595273,3.59401,3.596032,89.965593,89.954142,89.961606,160.815302,0.063577,0.072468,73.094668,0.944444,-374.777147,72.43865,-193.619956,72.43865,-88.204873,-218.445881,-193.619956,-218.445881,766.784733,-484.327146,-122.484097,-97.290324,-122.484097,-228.234553,88.496253,-97.290324,88.496253,1041.758651,845.341249,1.0,3.448414,0.572699,0.656611,0.0,-36.789852,1424.052849464554,1.6845893314080478,0.012920833021637091
48390.0,0.831292,-0.530551,-0.16574,0.387313,0.339031,0.857349,-0.398676,-0.7769,0.487323,147.361431,144.42547,418.078932,3.594329,3.598871,3.593018,90.050038,89.981222,90.009242,148.171811,0.082903,0.078574,64.000056,0.851351,180.241686,148.142919,718.988379,148.142919,-403.569541,-256.05424,718.988379,-256.05424,779.007146,419.281297,-65.075397,837.755722,-65.075397,-756.013421,-223.771174,837.755722,-223.771174,1009.515637,720.74023,1.0,3.332553,1.061775,3.615715,0.0,18.078932,1729.3064502776804,2.3993477515160775,0.013302347735445731
48008.0,-0.315943,0.938071,0.142139,-0.561825,-0.305699,0.768701,0.764548,0.163008,0.623614,392.125167,-240.732795,267.710853,3.596706,3.59638,3.597314,90.008609,89.939402,89.97625,57.684902,0.047894,0.040711,120.420164,1.0,279.850724,-266.589655,46.926513,-266.589655,287.772721,148.954879,46.926513,148.954879,1150.874595,-123.838291,83.045396,9.670183,83.045396,114.230181,155.931451,9.670183,155.931451,1155.847401,183.221661,1.0,2.958749,0.897438,1.360733,0.0,-132.289147,1188.7378815661982,6.487976776753476,0.008304257084386632
47526.0,0.32611,-0.561513,-0.760497,0.893496,-0.07965,0.441951,-0.308734,-0.823626,0.475735,-329.563847,429.187752,259.154573,3.592351,3.595261,3.592726,90.105527,90.09902,90.064359,167.703157,0.066664,0.064733,89.718674,0.992958,-501.892783,932.482458,-277.977276,932.482458,-1177.860358,596.840995,-277.977276,596.840995,595.96872,-125.810301,198.190862,78.070558,198.190862,-261.849074,25.501794,78.070558,25.501794,928.504954,662.447948,1.0,4.185957,1.074997,3.50023,0.0,-140.845427,1143.6930037420038,1.7264647089555236,0.011067461830744401
46037.0,-0.322864,0.015519,-0.946318,0.24951,0.96589,-0.069287,0.912964,-0.258486,-0.315724,392.600694,-378.495268,405.139898,3.596664,3.594382,3.589474,90.008692,90.116706,90.008373,133.305269,0.078667,0.072358,86.034531,0.942029,-1876.061754,169.280991,156.716047,169.280991,-56.7183,220.895552,156.716047,220.895552,901.33071,-460.894819,62.223361,-99.03414,62.223361,-253.564085,267.060654,-99.03414,267.060654,860.369653,630.80172,1.0,4.785476,1.892016,1.846704,0.0,5.139898,1256.3987347906207,1.991749063066316,0.01094942913096138
46038.0,-0.630823,0.103924,-0.768936,0.389285,0.899635,-0.197774,0.671208,-0.424095,-0.607966,520.442894,-390.18923,284.567955,3.599974,3.596265,3.594317,89.907119,90.036381,89.896316,218.727589,0.115983,0.097522,73.926104,0.815068,-43.363851,-1335.39669,-128.197183,-1335.39669,953.379874,344.201697,-128.197183,344.201697,849.062192,63.923549,-152.082392,-391.668306,-152.082392,-73.472226,-17.185401,-391.668306,-17.185401,653.753723,946.114674,1.0,4.964137,2.224293,2.134298,0.0,-115.432045,761.8653079386785,0.8052568350067452,0.011025442379595712
47713.0,0.435605,0.238251,-0.868035,0.763777,0.412474,0.496498,0.476333,-0.879262,-0.002295,516.925238,446.977965,367.593751,3.593354,3.598578,3.593351,90.012292,90.01547,90.050979,100.406665,0.054789,0.051077,79.818173,0.985714,-249.51402,68.173831,-210.622405,68.173831,-565.26753,-300.620527,-210.622405,-300.620527,1110.251488,-570.997766,181.984035,56.021289,181.984035,-140.031198,-118.669642,56.021289,-118.669642,1147.31634,437.907664,1.0,4.192828,1.573091,2.645112,0.0,-32.406249,1560.6261275253764,3.563824650315726,0.012349493391686627
